id,name
islr_concept_000_000,"NO APLICA RETENCION"
islr_concept_002_005,"Honorarios Profesionales No Mercantiles"
islr_concept_006_009,"Honorarios Profesionales Mancomunados No Mercantiles"
islr_concept_010_011,"Honorarios Profesionales Pagados a Jinetes, Veterinarios, Preparadores o Entrenadores"
islr_concept_012_013,"Honorarios Profesionales pagados por Clínicas, Hospitales, Centros de Salud, Bufetes, Escritorios, Oficinas, Colegios Profesionales u otra Institución Profesionales No Mercantiles sin Relación de Dependencia"
islr_concept_014_017,"Comisiones pagadas por la venta de bienes inmuebles"
islr_concept_018_021,"Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos, salarios y demás remuneraciones similares"
islr_concept_022_023,"Intereses de Capitales tomados en préstamo e invertidos en la producción de renta"
islr_concept_024_024,"Intereses provenientes de préstamos y otros créditos pagaderos a instituciones financieras constituidas en el exterior y no domiciliadas en el país"
islr_concept_025_028,"Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural, jurídica o comunidad"
islr_concept_029_029,"Enriquecimientos Netos de las Agencias Internacionales cuando el pagador sea una personas jurídica o comunidad domiciliada en el país"
islr_concept_030_031,"Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior"
islr_concept_032_033,"Enriquecimientos netos de exhibición de películas, cine o la televisión"
islr_concept_034_035,"Enriquecimientos obtenidos por concepto de regalías y demás participaciones analogas"
islr_concept_036_037,"Enriquecimientos obtenidos por las Remuneraciones, Honorarios y Pagos análogos por Asistencia Técnica"
islr_concept_038_039,"Enriquecimientos obtenidos por Servicios Tecnológicos utilizados en el país o cedidos a terceros"
islr_concept_040_040,"Enriquecimientos netos derivados de las primas de seguros y reaseguros"
islr_concept_041_044,"Ganancias obtenidas por juegos y apuestas"
islr_concept_045_048,"Ganancias obtenidas por premios de Loterías y de Hipódromos"
islr_concept_049_052,"Pagos a Propietarios de Animales de Carrera por concepto de Premios"
islr_concept_053_056,"Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país, por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago"
islr_concept_057_060,"Pagos de los Administradores de bienes Inmuebles a los arrendadores de los bienes inmuebles situados en el pais"
islr_concept_061_064,"Cánones de arrendamiento de Bienes Muebles situados en el país"
islr_concept_065_068,"Pagos de las Empresas Emisoras de Tarjetas de Credito o Consumo por la venta de bienes y servicios o cualquier otro concepto"
islr_concept_069_070,"Pagos de las Empresas Emisoras de Tarjetas de Crédito por la venta de Gasolina en las Estaciones de Servicio"
islr_concept_071_072,"Pagos por Gastos de Transporte conformados por Fletes"
islr_concept_073_074,"Pagos de las Empresas de Seguro, las sociedades de corretaje de seguros y las empresas de reaseguros por la prestación de los servicios que le son propios"
islr_concept_075_076,"Pagos de las Empresas de seguros a sus contratistas por la reparación de daños sufridos por los asegurados"
islr_concept_077_078,"Pagos de las Empresas de Seguros a Clínicas, Hospitales y/o Centros de Salud por la Atención Médica a sus Asegurados"
islr_concept_079_082,"Cantidades que se paguen por la adquisición de fondos de comercio situados en el país"
islr_concept_083_085,"Pagos por Servicios de Publicidad y Propaganda y la Cesión de la Venta de Espacios para tales fines"
islr_concept_086_086,"Pagos por Servicios de Publicidad Propaganda y la Cesión de la Venta de los Espacios para tales fines a Emisoras de Radio"
