id,name,person_type_id:id,base,factor,rate,rate_type,islr_concept_id:id
islr_concept_002,002,l10n_ve_fiscal_identification.person_type_pnre,100,83.33,3,,islr_concept_002_005
islr_concept_003,003,l10n_ve_fiscal_identification.person_type_pnnr,90,0,34,,islr_concept_002_005
islr_concept_004,004,l10n_ve_fiscal_identification.person_type_pjdo,100,0,5,,islr_concept_002_005
islr_concept_005,005,l10n_ve_fiscal_identification.person_type_pjnd,90,0,0,rate,islr_concept_002_005
islr_concept_006,006,l10n_ve_fiscal_identification.person_type_pnre,100,83.33,3,,islr_concept_006_009
islr_concept_007,007,l10n_ve_fiscal_identification.person_type_pnnr,90,0,34,,islr_concept_006_009
islr_concept_008,008,l10n_ve_fiscal_identification.person_type_pjdo,100,0,5,,islr_concept_006_009
islr_concept_009,009,l10n_ve_fiscal_identification.person_type_pjnd,90,0,0,rate,islr_concept_006_009
islr_concept_010,010,l10n_ve_fiscal_identification.person_type_pnre,100,83.33,3,,islr_concept_010_011
islr_concept_011,011,l10n_ve_fiscal_identification.person_type_pnnr,90,0,34,,islr_concept_010_011
islr_concept_012,012,l10n_ve_fiscal_identification.person_type_pnre,100,83.33,3,,islr_concept_012_013
islr_concept_013,013,l10n_ve_fiscal_identification.person_type_pnnr,90,0,34,,islr_concept_012_013
islr_concept_014,014,l10n_ve_fiscal_identification.person_type_pnre,100,83.33,3,,islr_concept_014_017
islr_concept_015,015,l10n_ve_fiscal_identification.person_type_pnnr,100,0,34,,islr_concept_014_017
islr_concept_016,016,l10n_ve_fiscal_identification.person_type_pjdo,100,0,5,,islr_concept_014_017
islr_concept_017,017,l10n_ve_fiscal_identification.person_type_pjnd,100,0,5,,islr_concept_014_017
islr_concept_018,018,l10n_ve_fiscal_identification.person_type_pnre,100,83.33,3,,islr_concept_018_021
islr_concept_019,019,l10n_ve_fiscal_identification.person_type_pnnr,100,0,34,,islr_concept_018_021
islr_concept_020,020,l10n_ve_fiscal_identification.person_type_pjdo,100,0,5,,islr_concept_018_021
islr_concept_021,021,l10n_ve_fiscal_identification.person_type_pjnd,100,0,5,,islr_concept_018_021
islr_concept_022,022,l10n_ve_fiscal_identification.person_type_pnnr,95,0,34,,islr_concept_022_023
islr_concept_023,023,l10n_ve_fiscal_identification.person_type_pjnd,95,0,5,rate,islr_concept_022_023
islr_concept_024,024,l10n_ve_fiscal_identification.person_type_pjnd,100,0,4.95,,islr_concept_024_024
islr_concept_025,025,l10n_ve_fiscal_identification.person_type_pnre,100,83.33,3,,islr_concept_025_028
islr_concept_026,026,l10n_ve_fiscal_identification.person_type_pnnr,95,0,34,,islr_concept_025_028
islr_concept_027,027,l10n_ve_fiscal_identification.person_type_pjdo,100,0,5,,islr_concept_025_028
islr_concept_028,028,l10n_ve_fiscal_identification.person_type_pjnd,95,0,0,rate,islr_concept_025_028
islr_concept_029,029,l10n_ve_fiscal_identification.person_type_pjnd,0,0,0,rate,islr_concept_029_029
